,precision,recall,f1-score,support
0,0.8629592850049652,0.869,0.8659691081215745,1000.0
1,0.9949799196787149,0.991,0.9929859719438878,1000.0
2,0.859344894026975,0.892,0.8753680078508342,1000.0
3,0.9145129224652088,0.92,0.9172482552342972,1000.0
4,0.8752620545073375,0.835,0.8546571136131013,1000.0
5,0.985014985014985,0.986,0.9855072463768115,1000.0
6,0.756319514661274,0.748,0.7521367521367521,1000.0
7,0.9707955689828801,0.964,0.9673858504766683,1000.0
8,0.9801587301587301,0.988,0.9840637450199202,1000.0
9,0.9662698412698413,0.974,0.9701195219123506,1000.0
accuracy,0.9167,0.9167,0.9167,0.9167
macro avg,0.9165617715770912,0.9167,0.9165441572686197,10000.0
weighted avg,0.9165617715770912,0.9167,0.9165441572686199,10000.0
