,precision,recall,f1-score,support
0,0.8197026022304833,0.882,0.8497109826589595,1000.0
1,0.9879638916750251,0.985,0.9864797195793691,1000.0
2,0.9034028540065862,0.823,0.8613291470434327,1000.0
3,0.8458110516934046,0.949,0.8944392082940622,1000.0
4,0.8919514884233738,0.809,0.8484530676455165,1000.0
5,0.9947862356621481,0.954,0.9739663093415007,1000.0
6,0.7248995983935743,0.722,0.7234468937875751,1000.0
7,0.9577039274924471,0.951,0.9543401906673357,1000.0
8,0.9889112903225806,0.981,0.9849397590361445,1000.0
9,0.9398280802292264,0.984,0.9614069369809477,1000.0
accuracy,0.904,0.904,0.904,0.904
macro avg,0.9054961020128849,0.9039999999999999,0.9038512215034844,10000.0
weighted avg,0.9054961020128849,0.904,0.9038512215034843,10000.0
