,precision,recall,f1-score,support
0,0.876629889669007,0.874,0.8753129694541814,1000.0
1,0.9979508196721312,0.974,0.98582995951417,1000.0
2,0.8513640639698965,0.905,0.8773630634997576,1000.0
3,0.9113300492610837,0.925,0.9181141439205954,1000.0
4,0.8638132295719845,0.888,0.8757396449704142,1000.0
5,0.9888888888888889,0.979,0.9839195979899497,1000.0
6,0.8076923076923077,0.735,0.7696335078534031,1000.0
7,0.9616519174041298,0.978,0.9697570649479424,1000.0
8,0.9782178217821782,0.988,0.9830845771144278,1000.0
9,0.9758551307847082,0.97,0.9729187562688063,1000.0
accuracy,0.9216,0.9216,0.9216,0.9216
macro avg,0.9213394118696316,0.9216000000000001,0.9211673285533648,10000.0
weighted avg,0.9213394118696316,0.9216,0.9211673285533648,10000.0
