,precision,recall,f1-score,support
0,0.8556304138594802,0.889,0.8719960765080921,1000.0
1,0.9939759036144579,0.99,0.9919839679358716,1000.0
2,0.87279843444227,0.892,0.8822947576656776,1000.0
3,0.9209209209209209,0.92,0.9204602301150576,1000.0
4,0.8912354804646251,0.844,0.8669748330765279,1000.0
5,0.987012987012987,0.988,0.9875062468765617,1000.0
6,0.769857433808554,0.756,0.7628657921291624,1000.0
7,0.9692765113974232,0.978,0.9736187157789946,1000.0
8,0.9714285714285714,0.986,0.9786600496277915,1000.0
9,0.9797979797979798,0.97,0.9748743718592964,1000.0
accuracy,0.9213,0.9213,0.9213,0.9213
macro avg,0.921193463674727,0.9213000000000001,0.9211235041573034,10000.0
weighted avg,0.921193463674727,0.9213,0.9211235041573033,10000.0
-1,-1,-1,-1,-1
