,precision,recall,f1-score,support
0,0.8521057786483839,0.87,0.8609599208312716,1000.0
1,0.9949392712550608,0.983,0.988933601609658,1000.0
2,0.803030303030303,0.901,0.8491988689915174,1000.0
3,0.9091796875,0.931,0.9199604743083004,1000.0
4,0.844574780058651,0.864,0.8541769649036086,1000.0
5,0.9867886178861789,0.971,0.9788306451612904,1000.0
6,0.8031591737545565,0.661,0.7251782775644542,1000.0
7,0.9342857142857143,0.981,0.9570731707317073,1000.0
8,0.9819277108433735,0.978,0.9799599198396793,1000.0
9,0.9824561403508771,0.952,0.9669883189436261,1000.0
accuracy,0.9092,0.9092,0.9092,0.9092
macro avg,0.9092447177613099,0.9092,0.9081260162885114,10000.0
weighted avg,0.90924471776131,0.9092,0.9081260162885113,10000.0
